Date,Tweets,Username,Url,Followers,Likes
2022-12-28 07:54:47+00:00,@_CricStats_ Sachin Tendulkar👆,Salim65821855,https://twitter.com/Salim65821855/status/1608008544514891777,4,2
2022-12-28 07:52:08+00:00,"@_FaridKhan International hundreds virat Kohli+ Sachin Tendulkar 173
 all Pakistani pleyar 100 haha 🤣🤣🤣",ThakurRaoDanis1,https://twitter.com/ThakurRaoDanis1/status/1608007880602517504,8,1
2022-12-28 07:48:34+00:00,@_FaridKhan Babar is greatest batsman than Sachin Tendulkar &amp; Greatest bowler than Muralidharan &amp; Warne.,snayak759,https://twitter.com/snayak759/status/1608006981281001472,30,0
2022-12-28 07:43:58+00:00,"Shikhar Dhawan and Rohit Sharma will go down as 🇮🇳' s second most successful opening pair in ODIs post Sachin Tendulkar and Sourav Ganguly 🏏

They also have 18 century opening stands which is the second highest 😯👏🏻

#Cricket #INDvSL #INDvsSL @SDhawan25 @ImRo45 https://t.co/Ljy5A7Lkpy",weRcricket,https://twitter.com/weRcricket/status/1608005826031108096,25196,35
2022-12-28 07:39:23+00:00,"Mother of coincidence 🤯

#OnThisDay #viratkohli #SachinTendulkar https://t.co/FbfXUgFsFR",cricfollowers_1,https://twitter.com/cricfollowers_1/status/1608004671662338049,118,0
2022-12-28 07:33:45+00:00,@_FaridKhan @ppushp7 Abe Gadhe don't compare with Sachin Tendulkar,snayak759,https://twitter.com/snayak759/status/1608003252972572672,30,0
2022-12-28 07:26:31+00:00,@_FaridKhan @ppushp7 According to you Babar is greatest batsman than Sachin Tendulkar.,snayak759,https://twitter.com/snayak759/status/1608001431029809153,30,0
2022-12-28 07:25:50+00:00,"Sir Garfield Sobers to Ricky Ponting and finally the man himself Sachin Ramesh Tendulkar..

HE IS THE MYTH THAT EVERYONE BELIEVE ..

#SachinTendulkar https://t.co/oB9jM2sxoJ",Loyalsachfan01,https://twitter.com/Loyalsachfan01/status/1608001260514607104,2405,30
2022-12-28 07:23:09+00:00,I am being shown salman khans image in twitter i do not want to be distracted by movie star celebrities.. There was a suspect sachin tendulkar that appeared in chiangmai once.. I want this distractions to end me get money and lead my life,ThaiKumar,https://twitter.com/ThaiKumar/status/1608000586552856581,8,0
2022-12-28 07:09:00+00:00,"You must be wondering how? Honestly I don't have the exact answer now but soon I will figure out. 

Ratan Tata, Steve Jobs, Mahatma Gandhi, Nelson Mandela, Mother Theresa, Sachin Tendulkar, A R Rehman, Oprah Winfrey and APJ Abdul Kalam, All these people are not superhumans,",VermaKiran,https://twitter.com/VermaKiran/status/1607997024657641473,2071,0
2022-12-28 07:05:08+00:00,@RVCJ_FB Kon sa equal hogya hai bhai. Yes he is amazing but Sachin Tendulkar sir is god,RATHIShivamCha1,https://twitter.com/RATHIShivamCha1/status/1607996051436498945,302,0
2022-12-28 07:03:00+00:00,@_FaridKhan International Hundreds of Sachin Tendulkar &gt;&gt;&gt; Whole Pakistan Cricket Team 😆😆😆😆,SpTweeted,https://twitter.com/SpTweeted/status/1607995512741040129,64,0
2022-12-28 07:02:45+00:00,@Abhinandan5653 @sachin_rt Yeah that was KADAK shot but went straight to point fielder and Sachin ka catch tha toh chodna toh tha nahi unko....he was not lucky in that aspect....barring 2011 wc semi,sunny_rp,https://twitter.com/sunny_rp/status/1607995450896060416,185,0
2022-12-28 06:56:27+00:00,Sachin Tandulkar is the real Zimdulkar #SachinTendulkar... https://t.co/BZBEqjmkJF,BadAndDark4Life,https://twitter.com/BadAndDark4Life/status/1607993867277864960,300,0
2022-12-28 06:56:11+00:00,"@MAG7CIAN @sywaseem @ESPNcricinfo Cricket has produced only one God
I.e sachin tendulkar
Cricket has produced only one king 👑
I.e king Kohli 
Inka babar jab cricket ka c nhi pata tha 
Usse phle virat ko king ka kihtab mil gya tha",ViratTilldeath,https://twitter.com/ViratTilldeath/status/1607993799153971201,99,0
2022-12-28 06:55:34+00:00,@SahilBulla Ofcourse rigged World Cup just like it was rigged for Sachin Tendulkar. Greats need a memorable exit 🥴,mikitsheth,https://twitter.com/mikitsheth/status/1607993642421227521,189,0
2022-12-28 06:49:52+00:00,@Smithian_again Pls also do a calculation for @sachin_rt. I think it would be around 150. What do you say @mufaddal_vohra @mohanstatsman,Bhartiya_7860,https://twitter.com/Bhartiya_7860/status/1607992210150260736,26,1
2022-12-28 06:45:05+00:00,"Sachin Tendulkar has no competition at any given stage of his career 🫡🔥

#cricket #india #sachintendulkar #viratkohli #cricketlovers #cricketmerijaan #cricketers #appanews https://t.co/PnTVhiVKBH",appanewsclub,https://twitter.com/appanewsclub/status/1607991006766731264,43,2
2022-12-28 06:44:35+00:00,@sunny_rp @sachin_rt A complete batsman all the shot just mindbobling,nimrit2012,https://twitter.com/nimrit2012/status/1607990881369608192,220,1
